ANIO;COLOR;COMBUSTIBLE;COMUNA;CONDICION;KILOMETROS;MARCA;PRECIO_NORMAL;PUERTAS;REGION;TIPO_AVISO;TIPO_CATEGORIA;TIPO_DIRECCION;TIPO_VEHICULO;TRANSMISION;VERSION;VISITAS;AIRBAG_ACOMP;AIRBAG_CONDUC;AIRBAG_CORTINA;AIRBAG_LAT;AIRBAG_TRAS;ALARMA;CIERRE_AUT_MOV;FRENOS_ABS;ISOFIX;AIRE_ACON;BLUETOOTH;CNTRL_VEL_CRUCERO;GPS;MANOS_LIBRES
2007;OTRO;BENCINA;SANTIAGO;USADO;160000;TOYOTA;3800000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;YARIS;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;SI;SI;SI;SI
2017;OTRO;DIESEL;LINARES;USADO;22000;CITROEN;9650000;5 o MAS;VII REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;C3;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2013;OTRO;BENCINA;SANTIAGO;USADO;62300;SUBARU;14150000;2;RM;PARTICULAR;COUPA;ASISTIDA;;MANUAL;BRZ;67;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2011;OTRO;BENCINA;SANTIAGO;USADO;95000;SKODA;5650000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;AUTOMATICA;OCTAVIA;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2013;OTRO;BENCINA;SANTIAGO;USADO;64000;FORD;5900000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;FIESTA;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;BENCINA;SANTIAGO;USADO;17000;FORD;23500000;2;RM;PARTICULAR;COUPA;ASISTIDA;;MANUAL;MUSTANG;3;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2014;OTRO;BENCINA;QUILLOTA;USADO;89000;MAZDA;7500000;5 o MAS;V REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;3;21;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;DIESEL;SANTIAGO;USADO;32500;NISSAN;17750000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;AUTOMATICA;NP300;1;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2007;ROJO;BENCINA;SANTIAGO;USADO;100000;PEUGEOT;2600000;5 o MAS;RM;PARTICULAR;PICK UP;MECANICA;;MANUAL;206;0;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;42000;HYUNDAI;9990000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;CRETA;27;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
