ANIO,COMBUSTIBLE,KILOMETROS,MARCA,PRECIO_NORMAL,PUERTAS,REGION,TIPO_AVISO,TIPO_CATEGORIA,TRANSMISION,VERSION,AIRBAG_ACOMP,AIRBAG_CONDUC,AIRBAG_CORTINA,AIRBAG_LAT,AIRBAG_TRAS,ALARMA,CIERRE_AUT_MOV,FRENOS_ABS,ISOFIX,AIRE_ACON,BLUETOOTH,CNTRL_VEL_CRUCERO,GPS,MANOS_LIBRES,RANGO_KM,RANGO_PRECIO,LOG_PRECIO,Label
2012,BENCINA,90000,AUDI,11990000.0,4,RM,ASISTIDA,SEDAN,AUTOMATICA,A6,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,NO,NO,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.299583527003698,11230986.928328918
2014,DIESEL,50000,MAHINDRA,7650000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,SCORPIO,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.850216205802719,7531415.236314787
2016,BENCINA,59000,KIA,7180000.0,4,RM,ASISTIDA,SEDAN,MANUAL,RIO 4,NO,NO,SI,SI,SI,SI,NO,NO,NO,NO,NO,SI,SI,NO,"(40000, 60000]","(5000000, 10000000]",15.786809941024407,7531415.236314787
2016,DIESEL,45000,SSANGYONG,9990000.0,5 o MAS,RM,,MONOVOLUMEN,MANUAL,KORANDO,NO,NO,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",16.117095150624735,9309667.617617149
2012,BENCINA,19000,MERCEDES BENZ,19000000.0,2,V REGION,PARTICULAR,CONVERTIBLE,AUTOMATICA,SLK 200,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(15000, 40000]","(15000000, 20000000]",16.759949537130716,18483932.345515523
2016,BENCINA,80000,CHERY,5890000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,MANUAL,TIGGO,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.58876655562777,5793810.818171797
2010,DIESEL,139000,SSANGYONG,5990000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,REXTON,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.605601970091632,5793810.818171797
2013,BENCINA,72000,MAZDA,6990000.0,4,VIII REGION,ASISTIDA,SEDAN,MANUAL,6,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.759991114209994,7531415.236314787
2012,BENCINA,81700,HYUNDAI,5190000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,MANUAL,I30,NO,NO,SI,SI,SI,NO,NO,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.462244255142071,5793810.818171797
2013,BENCINA,130000,AUDI,6500000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,AUTOMATICA,A3,SI,SI,SI,SI,SI,SI,SI,NO,NO,SI,SI,NO,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.687312734865866,5836993.045356355
2006,BENCINA,65136,MAZDA,4590000.0,4,RM,PARTICULAR,SEDAN,AUTOMATICA,3,SI,NO,SI,SI,SI,NO,NO,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.339390582036728,3751340.6663185977
2017,BENCINA,9500,BAIC,7190000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,MANUAL,X55,NO,NO,SI,SI,SI,NO,SI,SI,NO,NO,NO,SI,SI,NO,"(1000, 15000]","(5000000, 10000000]",15.78820172969723,7531415.236314787
